"p","U:0","U:1","U:2","epsilon","k","nut","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.0841,0,0,0,5.3073,0.023009,0,1,0.011176,0,-0.014224,0
-7.0839,0,0,0,5.3461,0.023124,0,1,0.011227,0,-0.014173,0
-7.0838,0,0,0,5.385,0.023239,0,1,0.011278,0,-0.014122,0
-7.0836,0,0,0,5.4239,0.023354,0,1,0.011328,0,-0.014072,0
-7.0835,0,0,0,5.4632,0.023465,0,1,0.011379,0,-0.014021,0
-7.0834,0,0,0,5.5027,0.023576,0,1,0.01143,0,-0.01397,0
-7.0834,0,0,0,5.5421,0.023686,0,1,0.011481,0,-0.013919,0
-7.0833,0,0,0,5.5816,0.023797,0,1,0.011532,0,-0.013868,0
-7.0832,0,0,0,5.621,0.023908,0,1,0.011582,0,-0.013818,0
-7.0831,0,0,0,5.6605,0.024018,0,1,0.011633,0,-0.013767,0
-7.083,0,0,0,5.6999,0.024129,0,1,0.011684,0,-0.013716,0
-7.083,0,0,0,5.7394,0.02424,0,1,0.011735,0,-0.013665,0
-7.0829,0,0,0,5.7788,0.02435,0,1,0.011786,0,-0.013614,0
-7.0828,0,0,0,5.8183,0.024461,0,1,0.011836,0,-0.013564,0
-7.0827,0,0,0,5.8577,0.024572,0,1,0.011887,0,-0.013513,0
-7.0827,0,0,0,5.8972,0.024682,0,1,0.011938,0,-0.013462,0
-7.0826,0,0,0,5.9366,0.024793,0,1,0.011989,0,-0.013411,0
-7.0825,0,0,0,5.9761,0.024904,0,1,0.01204,0,-0.01336,0
-7.0824,0,0,0,6.0155,0.025014,0,1,0.01209,0,-0.01331,0
-7.0823,0,0,0,6.055,0.025125,0,1,0.012141,0,-0.013259,0
-7.0823,0,0,0,6.0944,0.025236,0,1,0.012192,0,-0.013208,0
-7.0822,0,0,0,6.1339,0.025346,0,1,0.012243,0,-0.013157,0
-7.0821,0,0,0,6.1733,0.025457,0,1,0.012294,0,-0.013106,0
-7.082,0,0,0,6.2128,0.025568,0,1,0.012344,0,-0.013056,0
-7.0819,0,0,0,6.2522,0.025678,0,1,0.012395,0,-0.013005,0
-7.0819,0,0,0,6.2917,0.025789,0,1,0.012446,0,-0.012954,0
-7.0818,0,0,0,6.33,0.025893,0,1,0.012497,0,-0.012903,0
-7.0818,0,0,0,6.3674,0.025994,0,1,0.012548,0,-0.012852,0
-7.0818,0,0,0,6.4049,0.026094,0,1,0.012598,0,-0.012802,0
-7.0819,0,0,0,6.4423,0.026194,0,1,0.012649,0,-0.012751,0
-7.0819,0,0,0,6.4797,0.026295,0,1,0.0127,0,-0.0127,0
-7.0819,0,0,0,6.5172,0.026395,0,1,0.012751,0,-0.012649,0
-7.0819,0,0,0,6.5546,0.026495,0,1,0.012802,0,-0.012598,0
-7.0819,0,0,0,6.5921,0.026596,0,1,0.012852,0,-0.012548,0
-7.0819,0,0,0,6.6295,0.026696,0,1,0.012903,0,-0.012497,0
-7.0819,0,0,0,6.667,0.026797,0,1,0.012954,0,-0.012446,0
-7.0819,0,0,0,6.7044,0.026897,0,1,0.013005,0,-0.012395,0
-7.0819,0,0,0,6.7419,0.026997,0,1,0.013056,0,-0.012344,0
-7.0819,0,0,0,6.7793,0.027098,0,1,0.013106,0,-0.012294,0
-7.0819,0,0,0,6.8168,0.027198,0,1,0.013157,0,-0.012243,0
-7.0819,0,0,0,6.8542,0.027298,0,1,0.013208,0,-0.012192,0
-7.0819,0,0,0,6.8917,0.027399,0,1,0.013259,0,-0.012141,0
-7.0819,0,0,0,6.9291,0.027499,0,1,0.01331,0,-0.01209,0
-7.0819,0,0,0,6.9666,0.027599,0,1,0.01336,0,-0.01204,0
-7.0819,0,0,0,7.004,0.0277,0,1,0.013411,0,-0.011989,0
-7.0819,0,0,0,7.0415,0.0278,0,1,0.013462,0,-0.011938,0
-7.0819,0,0,0,7.0789,0.0279,0,1,0.013513,0,-0.011887,0
-7.0819,0,0,0,7.1164,0.028001,0,1,0.013564,0,-0.011836,0
-7.082,0,0,0,7.153,0.028098,0,1,0.013614,0,-0.011786,0
-7.0821,0,0,0,7.1875,0.028187,0,1,0.013665,0,-0.011735,0
-7.0821,0,0,0,7.2221,0.028276,0,1,0.013716,0,-0.011684,0
-7.0822,0,0,0,7.2566,0.028365,0,1,0.013767,0,-0.011633,0
-7.0823,0,0,0,7.2912,0.028455,0,1,0.013818,0,-0.011582,0
-7.0824,0,0,0,7.3257,0.028544,0,1,0.013868,0,-0.011532,0
-7.0825,0,0,0,7.3603,0.028633,0,1,0.013919,0,-0.011481,0
-7.0826,0,0,0,7.3948,0.028722,0,1,0.01397,0,-0.01143,0
-7.0826,0,0,0,7.4294,0.028811,0,1,0.014021,0,-0.011379,0
-7.0827,0,0,0,7.464,0.0289,0,1,0.014072,0,-0.011328,0
-7.0828,0,0,0,7.4985,0.028989,0,1,0.014122,0,-0.011278,0
-7.0829,0,0,0,7.5331,0.029079,0,1,0.014173,0,-0.011227,0
-7.083,0,0,0,7.5676,0.029168,0,1,0.014224,0,-0.011176,0
-7.0831,0,0,0,7.6022,0.029257,0,1,0.014275,0,-0.011125,0
-7.0832,0,0,0,7.6367,0.029346,0,1,0.014326,0,-0.011074,0
-7.0832,0,0,0,7.6713,0.029435,0,1,0.014376,0,-0.011024,0
-7.0833,0,0,0,7.7058,0.029524,0,1,0.014427,0,-0.010973,0
-7.0834,0,0,0,7.7404,0.029614,0,1,0.014478,0,-0.010922,0
-7.0835,0,0,0,7.7749,0.029703,0,1,0.014529,0,-0.010871,0
-7.0836,0,0,0,7.8095,0.029792,0,1,0.01458,0,-0.01082,0
-7.0837,0,0,0,7.844,0.029881,0,1,0.01463,0,-0.01077,0
-7.0837,0,0,0,7.8786,0.02997,0,1,0.014681,0,-0.010719,0
-7.0838,0,0,0,7.9131,0.030059,0,1,0.014732,0,-0.010668,0
-7.084,0,0,0,7.9445,0.030138,0,1,0.014783,0,-0.010617,0
-7.0841,0,0,0,7.9758,0.030216,0,1,0.014834,0,-0.010566,0
-7.0843,0,0,0,8.0072,0.030294,0,1,0.014884,0,-0.010516,0
-7.0845,0,0,0,8.0385,0.030373,0,1,0.014935,0,-0.010465,0
-7.0846,0,0,0,8.0698,0.030451,0,1,0.014986,0,-0.010414,0
-7.0848,0,0,0,8.1011,0.030529,0,1,0.015037,0,-0.010363,0
-7.0849,0,0,0,8.1324,0.030608,0,1,0.015088,0,-0.010312,0
-7.0851,0,0,0,8.1637,0.030686,0,1,0.015138,0,-0.010262,0
-7.0852,0,0,0,8.1951,0.030764,0,1,0.015189,0,-0.010211,0
-7.0854,0,0,0,8.2264,0.030843,0,1,0.01524,0,-0.01016,0
-7.0856,0,0,0,8.2577,0.030921,0,1,0.015291,0,-0.010109,0
-7.0857,0,0,0,8.289,0.030999,0,1,0.015342,0,-0.010058,0
-7.0859,0,0,0,8.3203,0.031078,0,1,0.015392,0,-0.010008,0
-7.086,0,0,0,8.3516,0.031156,0,1,0.015443,0,-0.0099568,0
-7.0862,0,0,0,8.3829,0.031234,0,1,0.015494,0,-0.009906,0
-7.0863,0,0,0,8.4143,0.031313,0,1,0.015545,0,-0.0098552,0
-7.0865,0,0,0,8.4456,0.031391,0,1,0.015596,0,-0.0098044,0
-7.0866,0,0,0,8.4769,0.031469,0,1,0.015646,0,-0.0097536,0
-7.0868,0,0,0,8.5082,0.031547,0,1,0.015697,0,-0.0097028,0
-7.087,0,0,0,8.5395,0.031626,0,1,0.015748,0,-0.009652,0
-7.0871,0,0,0,8.5708,0.031704,0,1,0.015799,0,-0.0096012,0
-7.0873,0,0,0,8.6022,0.031782,0,1,0.01585,0,-0.0095504,0
-7.0875,0,0,0,8.6314,0.031854,0,1,0.0159,0,-0.0094996,0
-7.0877,0,0,0,8.6597,0.031923,0,1,0.015951,0,-0.0094488,0
-7.0879,0,0,0,8.6879,0.031992,0,1,0.016002,0,-0.009398,0
-7.0881,0,0,0,8.7162,0.032061,0,1,0.016053,0,-0.0093472,0
-7.0884,0,0,0,8.7444,0.03213,0,1,0.016104,0,-0.0092964,0
-7.0886,0,0,0,8.7727,0.032198,0,1,0.016154,0,-0.0092456,0
-7.0888,0,0,0,8.8009,0.032267,0,1,0.016205,0,-0.0091948,0
-7.089,0,0,0,8.8291,0.032336,0,1,0.016256,0,-0.009144,0
-7.0892,0,0,0,8.8574,0.032405,0,1,0.016307,0,-0.0090932,0
-7.0895,0,0,0,8.8856,0.032474,0,1,0.016358,0,-0.0090424,0
-7.0897,0,0,0,8.9139,0.032543,0,1,0.016408,0,-0.0089916,0
-7.0899,0,0,0,8.9421,0.032611,0,1,0.016459,0,-0.0089408,0
-7.0901,0,0,0,8.9704,0.03268,0,1,0.01651,0,-0.00889,0
-7.0904,0,0,0,8.9986,0.032749,0,1,0.016561,0,-0.0088392,0
-7.0906,0,0,0,9.0268,0.032818,0,1,0.016612,0,-0.0087884,0
-7.0908,0,0,0,9.0551,0.032887,0,1,0.016662,0,-0.0087376,0
-7.091,0,0,0,9.0833,0.032955,0,1,0.016713,0,-0.0086868,0
