"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-14.537,-1.8173,0.010484,5.8427e-022,0.00011766,0.00012005,0.099276,-0.00076521,-5.0338e-022,1,0.029315,0.029315,-0.025,0
-14.51,-1.8187,0.0094278,5.7558e-022,0.00011796,0.00012036,0.099459,-0.00069133,-5.005e-022,1,0.02952,0.02952,-0.025,0
-14.483,-1.82,0.0083717,5.6689e-022,0.00011826,0.00012067,0.099641,-0.00061745,-4.9763e-022,1,0.029725,0.029725,-0.025,0
-14.453,-1.8212,0.0073594,6.273e-022,0.00011855,0.00012097,0.099795,-0.00054696,-5.5376e-022,1,0.02993,0.02993,-0.025,0
-14.419,-1.8221,0.0064037,7.7663e-022,0.00011882,0.00012125,0.099911,-0.00048082,-6.8577e-022,1,0.030135,0.030135,-0.025,0
-14.385,-1.8231,0.0054477,9.2601e-022,0.0001191,0.00012153,0.10003,-0.00041469,-8.1776e-022,1,0.03034,0.03034,-0.025,0
-14.352,-1.824,0.0044914,1.0754e-021,0.00011937,0.00012182,0.10014,-0.00034857,-9.4972e-022,1,0.030545,0.030545,-0.025,0
-14.313,-1.8246,0.0036203,1.0067e-021,0.00011962,0.00012208,0.10021,-0.00028963,-8.8893e-022,1,0.03075,0.03075,-0.025,0
-14.272,-1.8251,0.0027809,8.5634e-022,0.00011987,0.00012233,0.10027,-0.00023337,-7.5622e-022,1,0.030955,0.030955,-0.025,0
-14.232,-1.8255,0.0019411,7.0597e-022,0.00012012,0.00012258,0.10032,-0.00017713,-6.2354e-022,1,0.03116,0.03116,-0.025,0
-14.191,-1.826,0.0011011,5.5556e-022,0.00012037,0.00012283,0.10037,-0.0001209,-4.9089e-022,1,0.031365,0.031365,-0.025,0
-14.143,-1.8261,0.00037847,4.0851e-022,0.00012059,0.00012306,0.10037,-7.5716e-005,-3.6086e-022,1,0.03157,0.03157,-0.025,0
-14.096,-1.8262,-0.00034329,2.6145e-022,0.00012082,0.00012329,0.10036,-3.0646e-005,-2.3089e-022,1,0.031775,0.031775,-0.025,0
-14.048,-1.8262,-0.0010653,1.1434e-022,0.00012105,0.00012352,0.10036,1.4413e-005,-1.0095e-022,1,0.03198,0.03198,-0.025,0
-13.999,-1.8262,-0.0017667,0,0.00012127,0.00012374,0.10035,5.749e-005,0,1,0.032185,0.032185,-0.025,0
-13.945,-1.8259,-0.0023957,0,0.00012147,0.00012394,0.1003,9.3681e-005,0,1,0.03239,0.03239,-0.025,0
-13.89,-1.8255,-0.003025,0,0.00012168,0.00012414,0.10025,0.00012987,0,1,0.032595,0.032595,-0.025,0
-13.836,-1.8252,-0.0036544,0,0.00012188,0.00012435,0.10021,0.00016604,0,1,0.0328,0.0328,-0.025,0
-13.778,-1.8247,-0.0042575,0,0.00012208,0.00012454,0.10015,0.00020004,0,1,0.033005,0.033005,-0.025,0
-13.718,-1.824,-0.0048251,0,0.00012226,0.00012472,0.10006,0.00023111,0,1,0.03321,0.03321,-0.025,0
-13.657,-1.8233,-0.0053929,0,0.00012244,0.0001249,0.099978,0.00026217,0,1,0.033415,0.033415,-0.025,0
-13.596,-1.8226,-0.0059609,0,0.00012262,0.00012507,0.099894,0.00029322,0,1,0.03362,0.03362,-0.025,0
-13.531,-1.8216,-0.0065035,0,0.00012279,0.00012524,0.099789,0.00032245,0,1,0.033825,0.033825,-0.025,0
-13.465,-1.8206,-0.0070294,0,0.00012296,0.0001254,0.099671,0.00035046,0,1,0.03403,0.03403,-0.025,0
-13.398,-1.8195,-0.0075554,0,0.00012312,0.00012555,0.099552,0.00037847,0,1,0.034235,0.034235,-0.025,0
-13.331,-1.8184,-0.0080817,0,0.00012329,0.00012571,0.099434,0.00040647,0,1,0.03444,0.03444,-0.025,0
-13.26,-1.817,-0.0085841,-1.0386e-022,0.00012343,0.00012585,0.099291,0.00043286,8.3954e-023,1,0.034645,0.034645,-0.025,0
-13.188,-1.8156,-0.0090785,-2.4331e-022,0.00012358,0.00012599,0.09914,0.0004587,1.9662e-022,1,0.03485,0.03485,-0.025,0
-13.116,-1.8141,-0.0095731,-3.8281e-022,0.00012372,0.00012612,0.098989,0.00048453,3.0926e-022,1,0.035055,0.035055,-0.025,0
-13.044,-1.8127,-0.010068,-5.2235e-022,0.00012386,0.00012626,0.098838,0.00051035,4.2188e-022,1,0.03526,0.03526,-0.025,0
-12.968,-1.811,-0.010539,1.0375e-021,0.00012399,0.00012638,0.098661,0.00053469,4.3767e-022,1,0.035465,0.035465,-0.025,0
-12.89,-1.8092,-0.011007,2.876e-021,0.00012412,0.00012649,0.098479,0.00055878,4.3763e-022,1,0.03567,0.03567,-0.025,0
-12.813,-1.8074,-0.011475,4.715e-021,0.00012424,0.0001266,0.098298,0.00058286,4.3758e-022,1,0.035875,0.035875,-0.025,0
-12.736,-1.8056,-0.011943,6.5548e-021,0.00012436,0.00012672,0.098116,0.00060694,4.3754e-022,1,0.03608,0.03608,-0.025,0
-12.654,-1.8035,-0.012388,6.9172e-021,0.00012447,0.00012681,0.097907,0.00062952,2.3351e-022,1,0.036285,0.036285,-0.025,0
