"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-7.3988,-0.43986,0.023152,4.8716e-021,55.721,0.21848,6.454e-005,0.014231,-0.00088404,-7.8496e-022,1,0.02993,0.02993,-0.025,0
-7.4072,-0.44385,0.023097,6.0093e-021,56.707,0.22101,6.5041e-005,0.014445,-0.00088672,-9.7237e-022,1,0.030135,0.030135,-0.025,0
-7.4157,-0.44785,0.023041,7.1474e-021,57.692,0.22355,6.5542e-005,0.014658,-0.0008894,-1.1597e-021,1,0.03034,0.03034,-0.025,0
-7.4242,-0.45184,0.022985,8.2859e-021,58.677,0.22609,6.6043e-005,0.014872,-0.00089208,-1.3471e-021,1,0.030545,0.030545,-0.025,0
-7.4326,-0.4558,0.022924,7.7438e-021,59.684,0.22865,6.6546e-005,0.015088,-0.00089426,-1.261e-021,1,0.03075,0.03075,-0.025,0
-7.4411,-0.45975,0.022861,6.5739e-021,60.698,0.23121,6.7048e-005,0.015304,-0.00089627,-1.0729e-021,1,0.030955,0.030955,-0.025,0
-7.4496,-0.46369,0.022798,5.4036e-021,61.712,0.23377,6.7552e-005,0.01552,-0.00089827,-8.8488e-022,1,0.03116,0.03116,-0.025,0
-7.4581,-0.46764,0.022735,4.2329e-021,62.726,0.23633,6.8055e-005,0.015736,-0.00090028,-6.9687e-022,1,0.031365,0.031365,-0.025,0
-7.4665,-0.47154,0.022667,3.1123e-021,63.776,0.23893,6.8558e-005,0.015955,-0.00090181,-5.1229e-022,1,0.03157,0.03157,-0.025,0
-7.4749,-0.47543,0.022599,1.9919e-021,64.826,0.24153,6.9062e-005,0.016174,-0.00090333,-3.2778e-022,1,0.031775,0.031775,-0.025,0
-7.4834,-0.47933,0.02253,8.7112e-022,65.876,0.24413,6.9566e-005,0.016393,-0.00090486,-1.4331e-022,1,0.03198,0.03198,-0.025,0
-7.4918,-0.48322,0.022461,0,66.934,0.24674,7.007e-005,0.016612,-0.00090631,0,1,0.032185,0.032185,-0.025,0
-7.5002,-0.48707,0.02239,0,68.016,0.24937,7.0575e-005,0.016833,-0.00090748,0,1,0.03239,0.03239,-0.025,0
-7.5085,-0.49092,0.022319,0,69.099,0.25199,7.1079e-005,0.017053,-0.00090865,0,1,0.032595,0.032595,-0.025,0
-7.5169,-0.49477,0.022247,0,70.181,0.25462,7.1584e-005,0.017274,-0.00090983,0,1,0.0328,0.0328,-0.025,0
-7.5253,-0.49859,0.022175,0,71.278,0.25726,7.2088e-005,0.017496,-0.00091089,0,1,0.033005,0.033005,-0.025,0
-7.5335,-0.50239,0.022102,0,72.395,0.25992,7.2593e-005,0.017718,-0.0009118,0,1,0.03321,0.03321,-0.025,0
-7.5418,-0.50619,0.022029,0,73.512,0.26258,7.3097e-005,0.017941,-0.00091271,0,1,0.033415,0.033415,-0.025,0
-7.5501,-0.51,0.021956,0,74.629,0.26524,7.3602e-005,0.018164,-0.00091362,0,1,0.03362,0.03362,-0.025,0
-7.5583,-0.51377,0.021882,0,75.765,0.26791,7.4107e-005,0.018388,-0.00091441,0,1,0.033825,0.033825,-0.025,0
-7.5665,-0.51751,0.021808,0,76.916,0.2706,7.4612e-005,0.018612,-0.00091511,0,1,0.03403,0.03403,-0.025,0
-7.5747,-0.52127,0.021734,0,78.066,0.27329,7.5116e-005,0.018836,-0.00091581,0,1,0.034235,0.034235,-0.025,0
