"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.1084,-0.49623,0.030058,-7.0235e-022,228.51,0.57299,0.00012747,0.024592,-0.0017526,1.1455e-022,1,0.023575,0.023575,-0.025,0
-9.1196,-0.50117,0.029666,2.2887e-021,232.53,0.57967,0.00012856,0.024987,-0.0017382,-4.71e-022,1,0.02378,0.02378,-0.025,0
-9.1307,-0.50608,0.029275,4.9839e-021,236.56,0.58634,0.00012964,0.025382,-0.0017237,-9.9835e-022,1,0.023985,0.023985,-0.025,0
-9.1412,-0.51081,0.028895,4.9848e-021,240.58,0.59291,0.0001307,0.025769,-0.0017086,-9.9825e-022,1,0.02419,0.02419,-0.025,0
-9.1517,-0.51553,0.028515,4.9857e-021,244.61,0.59948,0.00013176,0.026156,-0.0016935,-9.9815e-022,1,0.024395,0.024395,-0.025,0
-9.1622,-0.52026,0.028135,4.9865e-021,248.63,0.60605,0.00013282,0.026543,-0.0016785,-9.9806e-022,1,0.0246,0.0246,-0.025,0
-9.1722,-0.52486,0.027765,4.1175e-021,252.65,0.61254,0.00013386,0.026924,-0.0016632,-8.2389e-022,1,0.024805,0.024805,-0.025,0
-9.182,-0.52938,0.0274,2.6984e-021,256.67,0.61899,0.0001349,0.027301,-0.0016478,-5.398e-022,1,0.02501,0.02501,-0.025,0
-9.1918,-0.5339,0.027036,1.2789e-021,260.69,0.62543,0.00013593,0.027678,-0.0016324,-2.5576e-022,1,0.025215,0.025215,-0.025,0
-9.2015,-0.5384,0.026672,-1.2761e-022,264.71,0.63187,0.00013696,0.028055,-0.0016171,2.7033e-023,1,0.02542,0.02542,-0.025,0
-9.2105,-0.54272,0.026325,-1.412e-021,268.71,0.63819,0.00013796,0.028422,-0.0016016,2.9903e-022,1,0.025625,0.025625,-0.025,0
-9.2196,-0.54705,0.025978,-2.6968e-021,272.72,0.64451,0.00013896,0.02879,-0.0015862,5.7098e-022,1,0.02583,0.02583,-0.025,0
-9.2286,-0.55137,0.02563,-3.9821e-021,276.72,0.65083,0.00013997,0.029158,-0.0015708,8.4287e-022,1,0.026035,0.026035,-0.025,0
-9.2372,-0.55559,0.025293,-4.55e-021,280.72,0.65708,0.00014095,0.02952,-0.0015555,9.6283e-022,1,0.02624,0.02624,-0.025,0
-9.2454,-0.55973,0.024964,-4.5508e-021,284.71,0.66328,0.00014193,0.029878,-0.0015403,9.6273e-022,1,0.026445,0.026445,-0.025,0
-9.2536,-0.56387,0.024635,-4.5516e-021,288.69,0.66947,0.0001429,0.030236,-0.001525,9.6264e-022,1,0.02665,0.02665,-0.025,0
-9.2619,-0.56801,0.024306,-4.5524e-021,292.68,0.67567,0.00014388,0.030593,-0.0015098,9.6254e-022,1,0.026855,0.026855,-0.025,0
-9.2693,-0.57198,0.023996,-2.3456e-021,296.64,0.68174,0.00014482,0.030942,-0.0014949,9.5722e-022,1,0.02706,0.02706,-0.025,0
-9.2767,-0.57594,0.023686,-1.1635e-022,300.61,0.6878,0.00014577,0.03129,-0.00148,9.5185e-022,1,0.027265,0.027265,-0.025,0
-9.2842,-0.57991,0.023376,2.1137e-021,304.57,0.69387,0.00014671,0.031638,-0.0014651,9.4649e-022,1,0.02747,0.02747,-0.025,0
-9.2913,-0.5838,0.023073,3.9239e-021,308.52,0.69989,0.00014765,0.031982,-0.0014503,8.4154e-022,1,0.027675,0.027675,-0.025,0
-9.2979,-0.5876,0.022782,5.0883e-021,312.46,0.70583,0.00014857,0.032321,-0.0014359,5.8361e-022,1,0.02788,0.02788,-0.025,0
-9.3045,-0.5914,0.02249,6.2531e-021,316.39,0.71178,0.00014948,0.032659,-0.0014214,3.2572e-022,1,0.028085,0.028085,-0.025,0
-9.3111,-0.5952,0.022199,7.4183e-021,320.33,0.71772,0.0001504,0.032997,-0.0014069,6.7893e-023,1,0.02829,0.02829,-0.025,0
-9.3171,-0.59888,0.021922,6.9559e-021,324.24,0.72356,0.00015129,0.033328,-0.0013928,-1.9018e-022,1,0.028495,0.028495,-0.025,0
-9.3229,-0.60252,0.021649,6.0075e-021,328.14,0.72938,0.00015218,0.033657,-0.0013788,-4.4829e-022,1,0.0287,0.0287,-0.025,0
-9.3287,-0.60617,0.021377,5.0587e-021,332.05,0.73519,0.00015307,0.033986,-0.0013649,-7.0634e-022,1,0.028905,0.028905,-0.025,0
-9.3343,-0.6098,0.021106,4.2156e-021,335.95,0.74099,0.00015396,0.034314,-0.001351,-9.3339e-022,1,0.02911,0.02911,-0.025,0
-9.3393,-0.61329,0.020851,4.1653e-021,339.82,0.74669,0.00015482,0.034634,-0.0013376,-9.2893e-022,1,0.029315,0.029315,-0.025,0
-9.3443,-0.61679,0.020596,4.1149e-021,343.69,0.75238,0.00015568,0.034953,-0.0013242,-9.2446e-022,1,0.02952,0.02952,-0.025,0
